Radius	predicate	time	# Vertices
688	-0.00145349	2165	1480
689	-0.00145138	2272	1472
690	-0.00144928	2044	1508
691	-0.00144718	2876	1468
692	-0.00144509	2576	1480
693	-0.001443	2422	1472
694	-0.00144092	2183	1492
695	-0.00143885	2230	1496
696	-0.00143678	2280	1488
697	-0.00143472	2383	1492
698	-0.00143266	2413	1492
699	-0.00143062	2510	1480
700	-0.00142857	2251	1508
701	-0.00142653	2446	1500
702	-0.0014245	2288	1512
703	-0.00142248	2397	1504
704	-0.00142045	2512	1500
705	-0.00141844	2497	1500
706	-0.00141643	2210	1512
707	-0.00141443	2448	1532
708	-0.00141243	2597	1508
709	-0.00141044	2636	1520
710	-0.00140845	2405	1512
711	-0.00140647	2225	1524
712	-0.00140449	2429	1528
713	-0.00140252	2423	1520
714	-0.00140056	2268	1540
715	-0.0013986	2560	1532
716	-0.00139665	2509	1512
717	-0.0013947	2515	1540
718	-0.00139276	2504	1540
719	-0.00139082	2319	1552
720	-0.00138889	2352	1560
721	-0.00138696	2619	1540
722	-0.00138504	2697	1532
723	-0.00138313	2392	1552
724	-0.00138122	2204	1564
725	-0.00137931	2463	1540
726	-0.00137741	2412	1560
727	-0.00137552	2623	1560
728	-0.00137363	2374	1564
729	-0.00137174	2450	1552
730	-0.00136986	2517	1552
731	-0.00136799	2201	1572
732	-0.00136612	2562	1564
733	-0.00136426	2602	1576
734	-0.0013624	2679	1544
735	-0.00136054	2582	1572
736	-0.0013587	2247	1592
737	-0.00135685	2422	1584
738	-0.00135501	2526	1588
739	-0.00135318	2630	1572
740	-0.00135135	2477	1584
741	-0.00134953	2311	1604
742	-0.00134771	2656	1572
743	-0.0013459	2455	1600
744	-0.00134409	2475	1584
745	-0.00134228	2200	1604
746	-0.00134048	2794	1564
747	-0.00133869	2564	1592
748	-0.0013369	2527	1620
749	-0.00133511	2612	1604
750	-0.00133333	2705	1600
751	-0.00133156	2778	1600
752	-0.00132979	2701	1604
753	-0.00132802	2421	1632
754	-0.00132626	2301	1616
755	-0.0013245	2550	1612
756	-0.00132275	2731	1612
757	-0.001321	2511	1632
758	-0.00131926	2552	1628
759	-0.00131752	2718	1604
760	-0.00131579	2586	1624
761	-0.00131406	2474	1632
762	-0.00131234	2510	1652
763	-0.00131062	2817	1612
764	-0.0013089	2604	1632
765	-0.00130719	2469	1644
766	-0.00130548	2545	1644
767	-0.00130378	2699	1640
768	-0.00130208	2897	1624
769	-0.00130039	2636	1652
770	-0.0012987	2363	1664
771	-0.00129702	2763	1624
772	-0.00129534	2735	1652
773	-0.00129366	2794	1636
774	-0.00129199	2708	1672
775	-0.00129032	2621	1656
776	-0.00128866	2470	1652
777	-0.001287	2579	1672
778	-0.00128535	2776	1656
779	-0.0012837	2613	1692
780	-0.00128205	3000	1652
781	-0.00128041	2564	1664
782	-0.00127877	2457	1692
783	-0.00127714	2621	1668
784	-0.00127551	2700	1672
785	-0.00127389	2750	1664
786	-0.00127226	2549	1684
787	-0.00127065	2422	1704
788	-0.00126904	3015	1672
789	-0.00126743	2861	1692
790	-0.00126582	2929	1684
791	-0.00126422	2603	1704
792	-0.00126263	2849	1704
793	-0.00126103	2602	1684
794	-0.00125945	2515	1712
795	-0.00125786	2667	1696
796	-0.00125628	2652	1708
797	-0.00125471	2743	1684
798	-0.00125313	2931	1704
799	-0.00125156	2537	1724
800	-0.00125	2566	1716
801	-0.00124844	2736	1704
802	-0.00124688	2870	1696
803	-0.00124533	2794	1724
804	-0.00124378	2845	1724
805	-0.00124224	2871	1712
806	-0.00124069	2708	1724
807	-0.00123916	2623	1724
808	-0.00123762	2832	1736
809	-0.00123609	2792	1736
810	-0.00123457	2812	1724
811	-0.00123305	2703	1736
812	-0.00123153	2410	1736
813	-0.00123001	2620	1700
814	-0.0012285	2955	1668
815	-0.00122699	2670	1680
816	-0.00122549	2576	1700
817	-0.00122399	2437	1692
818	-0.00122249	2685	1688
819	-0.001221	2663	1688
820	-0.00121951	2638	1700
821	-0.00121803	3085	1692
822	-0.00121655	2997	1696
823	-0.00121507	2650	1700
824	-0.00121359	2773	1708
825	-0.00121212	2433	1720
826	-0.00121065	2894	1704
827	-0.00120919	2812	1708
828	-0.00120773	2640	1720
829	-0.00120627	3017	1720
830	-0.00120482	2507	1732
831	-0.00120337	2959	1700
832	-0.00120192	2862	1720
833	-0.00120048	2868	1704
834	-0.00119904	2922	1724
835	-0.0011976	2632	1720
836	-0.00119617	2887	1712
837	-0.00119474	2718	1748
838	-0.00119332	2774	1732
839	-0.0011919	3395	1728
840	-0.00119048	2679	1740
841	-0.00118906	2609	1732
842	-0.00118765	2489	1760
843	-0.00118624	2943	1720
844	-0.00118483	2872	1748
845	-0.00118343	2764	1732
846	-0.00118203	2840	1744
847	-0.00118064	2625	1772
848	-0.00117925	2872	1732
849	-0.00117786	2943	1760
850	-0.00117647	2440	1752
851	-0.00117509	2855	1764
852	-0.00117371	2816	1760
853	-0.00117233	2839	1752
854	-0.00117096	2750	1772
855	-0.00116959	2748	1772
856	-0.00116822	2973	1768
857	-0.00116686	2906	1788
858	-0.0011655	2757	1764
859	-0.00116414	2840	1784
860	-0.00116279	3090	1760
861	-0.00116144	2891	1780
862	-0.00116009	3060	1780
863	-0.00115875	2991	1784
864	-0.00115741	2806	1796
865	-0.00115607	2863	1772
866	-0.00115473	2796	1792
867	-0.0011534	2769	1776
868	-0.00115207	2615	1812
869	-0.00115075	3122	1800
870	-0.00114943	2868	1792
871	-0.00114811	2952	1812
872	-0.00114679	2856	1796
873	-0.00114548	2947	1800
874	-0.00114416	3211	1792
875	-0.00114286	2808	1820
876	-0.00114155	2798	1824
877	-0.00114025	3107	1784
878	-0.00113895	2957	1812
879	-0.00113766	3103	1804
880	-0.00113636	2712	1824
881	-0.00113507	2814	1852
882	-0.00113379	3187	1796
883	-0.0011325	2897	1824
884	-0.00113122	2908	1824
885	-0.00112994	2535	1844
886	-0.00112867	3140	1848
887	-0.0011274	3113	1832
888	-0.00112613	2819	1844
